Score,Flips left,Heads,Tails,Action,Reward
  1,108, 3, 1, 0, -1
  1,107, 4, 1, 0, -1
  1,106, 4, 2, 0, -1
  1,105, 5, 2, 0, -1
  1,104, 5, 3, 0, -1
  1,103, 6, 3, 0, -1
  1,102, 7, 3, 0, -1
  1,101, 8, 3, 0, -1
  1,115, 0, 0, 3, 14
  2,116, 0, 0, 0,  1
  2,115, 1, 0, 0, -1
  2,114, 1, 1, 0, -1
  2,113, 2, 1, 0, -1
  2,112, 2, 2, 0, -1
  2,111, 2, 3, 0, -1
  2,110, 2, 4, 0, -1
  2,124, 0, 0, 2, 14
  3,125, 0, 0, 0,  1
  3,124, 1, 0, 0, -1
  3,123, 2, 0, 0, -1
  3,122, 3, 0, 0, -1
  4,137, 0, 0, 3, 15
  4,137, 0, 0, 0,  0
  4,136, 1, 0, 0, -1
  4,135, 2, 0, 0, -1
  4,134, 2, 1, 0, -1
  4,133, 3, 1, 0, -1
  4,132, 3, 2, 0, -1
  4,131, 4, 2, 0, -1
  4,130, 5, 2, 0, -1
  4,129, 6, 2, 0, -1
  4,128, 6, 3, 0, -1
  4,127, 7, 3, 0, -1
  4,126, 7, 4, 0, -1
  4,125, 8, 4, 0, -1
  4,124, 9, 4, 0, -1
  4,123,10, 4, 0, -1
  5,138, 0, 0, 3, 15
  5,138, 0, 0, 0,  0
  5,137, 1, 0, 0, -1
  5,136, 2, 0, 0, -1
  5,135, 2, 1, 0, -1
  5,134, 2, 2, 0, -1
  5,133, 3, 2, 0, -1
  5,132, 3, 3, 0, -1
  5,131, 3, 4, 0, -1
  6,146, 0, 0, 2, 15
  6,146, 0, 0, 0,  0
  6,145, 0, 1, 0, -1
  6,144, 1, 1, 0, -1
  6,143, 1, 2, 0, -1
  6,142, 2, 2, 0, -1
  6,141, 3, 2, 0, -1
  6,140, 4, 2, 0, -1
  6,139, 5, 2, 0, -1
  6,138, 5, 3, 0, -1
  6,137, 6, 3, 0, -1
  6,136, 7, 3, 0, -1
  6,135, 7, 4, 0, -1
  6,134, 8, 4, 0, -1
  6,133, 9, 4, 0, -1
  6,132,10, 4, 0, -1
  7,147, 0, 0, 3, 15
  7,147, 0, 0, 0,  0
  7,146, 1, 0, 0, -1
  7,145, 2, 0, 0, -1
  7,144, 3, 0, 0, -1
  7,114, 0, 0, 3,-30
  7,114, 0, 0, 0,  0
  7,113, 1, 0, 0, -1
  7,112, 1, 1, 0, -1
  7,111, 2, 1, 0, -1
  7,110, 3, 1, 0, -1
  7,109, 4, 1, 0, -1
  7,108, 5, 1, 0, -1
  8,123, 0, 0, 3, 15
  8,123, 0, 0, 0,  0
  8,122, 1, 0, 0, -1
  8,121, 2, 0, 0, -1
  8,120, 2, 1, 0, -1
  8,119, 3, 1, 0, -1
  8,118, 4, 1, 0, -1
  8,117, 5, 1, 0, -1
  9,132, 0, 0, 3, 15
  9,131, 1, 0, 0, -1
  9,130, 2, 0, 0, -1
  9,129, 2, 1, 0, -1
  9,128, 3, 1, 0, -1
  9,127, 4, 1, 0, -1
  9,126, 4, 2, 0, -1
  9,125, 4, 3, 0, -1
  9,124, 4, 4, 0, -1
  9,123, 4, 5, 0, -1
 10,138, 0, 0, 2, 15
 10,137, 0, 1, 0, -1
 10,136, 1, 1, 0, -1
 10,135, 2, 1, 0, -1
 10,134, 2, 2, 0, -1
 10,133, 3, 2, 0, -1
 10,132, 3, 3, 0, -1
 10,131, 4, 3, 0, -1
 10,130, 4, 4, 0, -1
 10,129, 5, 4, 0, -1
 10,128, 6, 4, 0, -1
 10,127, 7, 4, 0, -1
 10,126, 8, 4, 0, -1
 10,125, 8, 5, 0, -1
 10,124, 9, 5, 0, -1
 10,123, 9, 6, 0, -1
 10,122, 9, 7, 0, -1
 10,121,10, 7, 0, -1
 10,120,10, 8, 0, -1
 10,134, 0, 0, 2, 14
 11,134, 0, 1, 0,  0
