Score,Flips left,Heads,Tails,Action,Reward
  5, 95, 0, 0, 2, 15
  5, 90, 2, 3, 1, -5
  5, 89, 2, 4, 0, -1
  6,104, 0, 0, 2, 15
  6, 99, 3, 2, 1, -5
  6, 98, 3, 3, 0, -1
  6, 97, 3, 4, 0, -1
  6, 67, 0, 0, 2,-30
  6, 62, 3, 2, 1, -5
  6, 61, 3, 3, 0, -1
  6, 60, 3, 4, 0, -1
  6, 30, 0, 0, 2,-30
  6, 29, 0, 1, 0, -1
  6, 28, 1, 1, 0, -1
  6, 27, 1, 2, 0, -1
  6, 26, 1, 3, 0, -1
  7, 41, 0, 0, 2, 15
  7, 40, 1, 0, 0, -1
  7, 39, 2, 0, 0, -1
  7, 38, 3, 0, 0, -1
  7, 37, 4, 0, 0, -1
  8, 52, 0, 0, 3, 15
  8, 47, 1, 4, 1, -5
  9, 62, 0, 0, 2, 15
  9, 57, 4, 1, 1, -5
  9, 56, 5, 1, 0, -1
 10, 71, 0, 0, 3, 15
 10, 66, 3, 2, 1, -5
 10, 65, 3, 3, 0, -1
 10, 64, 3, 4, 0, -1
 10, 34, 0, 0, 2,-30
 10, 33, 1, 0, 0, -1
 10, 32, 1, 1, 0, -1
 10, 31, 2, 1, 0, -1
 10, 30, 2, 2, 0, -1
 10, 29, 3, 2, 0, -1
 10, 28, 4, 2, 0, -1
 10, 27, 4, 3, 0, -1
 10, 26, 4, 4, 0, -1
 10, 25, 5, 4, 0, -1
 10, 24, 6, 4, 0, -1
 10, 23, 7, 4, 0, -1
 10, 22, 7, 5, 0, -1
 10, 21, 7, 6, 0, -1
 10, 20, 7, 7, 0, -1
 11, 35, 0, 0, 2, 15
 11, 34, 1, 0, 0, -1
 11, 33, 2, 0, 0, -1
 11, 32, 3, 0, 0, -1
 11, 31, 4, 0, 0, -1
 12, 46, 0, 0, 3, 15
 12, 45, 1, 0, 0, -1
 12, 44, 1, 1, 0, -1
 12, 43, 2, 1, 0, -1
 12, 42, 3, 1, 0, -1
 12, 41, 3, 2, 0, -1
 12, 40, 4, 2, 0, -1
 12, 39, 5, 2, 0, -1
 12, 38, 6, 2, 0, -1
 12, 37, 7, 2, 0, -1
 13, 52, 0, 0, 3, 15
 13, 47, 4, 1, 1, -5
 13, 46, 5, 1, 0, -1
 14, 61, 0, 0, 3, 15
 14, 56, 4, 1, 1, -5
 14, 55, 4, 2, 0, -1
 14, 54, 5, 2, 0, -1
 14, 53, 6, 2, 0, -1
 14, 52, 7, 2, 0, -1
 14, 22, 0, 0, 3,-30
 14, 21, 0, 1, 0, -1
 14, 20, 1, 1, 0, -1
 14, 19, 1, 2, 0, -1
 14, 18, 2, 2, 0, -1
 14, 17, 2, 3, 0, -1
 14, 16, 2, 4, 0, -1
 15, 31, 0, 0, 2, 15
 15, 30, 1, 0, 0, -1
 15, 29, 1, 1, 0, -1
 15, 28, 1, 2, 0, -1
 15, 27, 2, 2, 0, -1
 15, 26, 3, 2, 0, -1
 15, 25, 3, 3, 0, -1
 15, 24, 4, 3, 0, -1
 15, 23, 5, 3, 0, -1
 15, 22, 6, 3, 0, -1
 15, 21, 6, 4, 0, -1
 15, 20, 7, 4, 0, -1
 15, 19, 7, 5, 0, -1
 15, 18, 8, 5, 0, -1
 15, 17, 9, 5, 0, -1
 15, 16,10, 5, 0, -1
 15, 15,10, 6, 0, -1
 15, 14,11, 6, 0, -1
 15, 13,11, 7, 0, -1
 15, 12,12, 7, 0, -1
 15, 11,12, 8, 0, -1
 15, 10,12, 9, 0, -1
 15,  9,13, 9, 0, -1
 15,  8,14, 9, 0, -1
 15,  7,15, 9, 0, -1
 15,  6,16, 9, 0, -1
