Score, Flips left, Heads, Tails, Difference
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
0, 99, 0, 1, -1
0, 98, 1, 1, 0
0, 97, 2, 1, 1
0, 96, 3, 1, 2
0, 95, 3, 2, 1
